Track ID,Title,Album,Artist,BPM,Comment,Composer,Genre,Grouping,ISRC,Lyrics,ProNumber,Release Date,Year,External ID,Internal comment,Client comment,
,,,,,,,,,,Felt_how cold nights get_n',,,,,,,
,,,,,,,,,,How slow time always goes ,,,,,,,
,,,,,,,,,,When ev'ry night I know,,,,,,,
,,,,,,,,,,The sun's gonna find the moon n'_ ,,,,,,,
,,,,,,,,,,This heartache's gonna_bring _me you ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Br ,,,,,,,
,,,,,,,,,,"Now, here I am all alone_ ",,,,,,,
,,,,,,,,,,Singin' to the night ... n'_you ,,,,,,,
,,,,,,,,,,You...you...you ,,,,,,,
,,,,,,,,,,You...you...you ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ch3 ,,,,,,,
,,,,,,,,,,I've_stared_at sunsets ,,,,,,,
,,,,,,,,,,Felt_how cold nights get_n' ,,,,,,,
,,,,,,,,,,How slow time always goes ,,,,,,,
,,,,,,,,,,When ev'ry night I know ,,,,,,,
,,,,,,,,,,The sun's gonna find the moon n'_ ,,,,,,,
,,,,,,,,,,This Heartache's gonna_bring_me you ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You...you...you,,,,,,,
86475082,STAY IN MY WAY,NATU Ought To,NATU Visinia,117,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Faamanatuina Visinia (50%) ASCAP,Cont Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00129,I recall the 1st time I saw her  ,910182703,,,,,,
,,,,,,,,,,Plowin' through that crowded school hall n' ,,,,,,,
,,,,,Let's please chat. ,,,,,She was blockin' my path ,,,,,,,
,,,,,,,,,,As I tried to get past  ,,,,,,,
,,,,,ONE STOP ,,,,,Shot me a smile then she moved along ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,On the bus that ev'nin'  ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,I was lookin' for a  seat n' ,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,"Once again, stand-in' there ",,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,Those blonde curls - blue eyes -  ,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,Turn-the-world-upside-down with just a simple stare  ,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,I couldn't find the words but I worked up  ,,,,,,,
,,,,,Several placements in past year.  ,,,,,The nerves just to say hello ,,,,,,,
,,,,,,,,,,I was playin' it cool but the cold hard truth  ,,,,,,,
,,,,,Thanks for listening! ,,,,,Was burnin' deep inside my soul ,,,,,,,
,,,,,Greg,,,,,If by happenstance we ran ,,,,,,,
,,,,,,,,,,Into each other every single day ,,,,,,,
,,,,,,,,,,Stay in my way  ,,,,,,,
,,,,,,,,,,I was at the supermarket ,,,,,,,
,,,,,,,,,,Speedin' through in my cart n' ,,,,,,,
,,,,,,,,,,She blocked the aisle I needed to go down ,,,,,,,
,,,,,,,,,,I tried to get it together - should'a known better ,,,,,,,
,,,,,,,,,,"Well, I’m tellin’ this time around ",,,,,,,
,,,,,,,,,,I couldn't find the words but I worked up  ,,,,,,,
,,,,,,,,,,The nerves just to say hello ,,,,,,,
,,,,,,,,,,I was playin' it cool but the cold hard truth  ,,,,,,,
,,,,,,,,,,Was burnin' deep inside my soul ,,,,,,,
,,,,,,,,,,If by happenstance we ran ,,,,,,,
,,,,,,,,,,Into each other every single day ,,,,,,,
,,,,,,,,,,Stay in my way  ,,,,,,,
,,,,,,,,,,Next time I saw her ,,,,,,,
,,,,,,,,,,She gave me her number n' ,,,,,,,
,,,,,,,,,,I called just to let her know... ,,,,,,,
,,,,,,,,,,I'm glad I found the words n' the nerve ,,,,,,,
,,,,,,,,,,To say more than just hello ,,,,,,,
,,,,,,,,,,I was playin' it cool but this cold hard truth  ,,,,,,,
,,,,,,,,,,Was burnin’ deep inside my soul  ,,,,,,,
,,,,,,,,,,It’s not by chance we ran ,,,,,,,
,,,,,,,,,,Into each other every single day ,,,,,,,
,,,,,,,,,,You moved my heart when you stayed in my way ,,,,,,,
,,,,,,,,,,Mmm mmm mmm ,,,,,,,
,,,,,,,,,,Stay in my way,,,,,,,
86744337,UH OH HERE WE GO,Sports of Sorts,Erik W Nelson,95,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Rockabilly,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00334,"I should shine jelly with the power of it, ",917870592,,2025,,,,
,,,,,,,,,,shinbones dropping when you're moving in mix.,,,,,,,
,,,,,Let's please chat. ,,,,,"Gumshoe crating with the mighty flex,",,,,,,,
,,,,,,,,,,it gets so broken with a full damn fix.,,,,,,,
,,,,,ONE STOP ,,,,,Ooh ooh ooh ooh. ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,"Uh-oh, uh-oh, here we go.",,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,I feel right.,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Ooh! scatting Here we go.,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,And here we go laughing ,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,Here we go.,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,"Ah, ah, ah, here we go.",,,,,,,
,,,,,Several placements in past year.  ,,,,,Ooh-ooh.,,,,,,,
,,,,,,,,,,Cha-cha-cha! Cha-cha-cha! Cha-cha-cha!,,,,,,,
,,,,,Thanks for listening! ,,,,,whistling,,,,,,,
,,,,,Greg,,,,,"Overfed chat, really came upon a wit. ",,,,,,,
,,,,,,,,,,"Ghost ride, baby, don't give her no more lip.",,,,,,,
,,,,,,,,,,"Ooh, sunshine syrup with a seafood dress, ",,,,,,,
,,,,,,,,,,"I don't know, I'm a mess.",,,,,,,
,,,,,,,,,,Ow!,,,,,,,
,,,,,,,,,,Ooh ooh ooh ooh. ,,,,,,,
,,,,,,,,,,"Uh-oh, uh-oh, here we go.",,,,,,,
,,,,,,,,,,vocalizing,,,,,,,
,,,,,,,,,,Come on.,,,,,,,
,,,,,,,,,,Take me now. Down. Down.,,,,,,,
,,,,,,,,,,tongue clicks,,,,,,,
,,,,,,,,,,vocal grunt,,,,,,,
87044144,COOL JAZZ JIVIN' - INSTRO,Scherer Delight,Michael Scherer,112,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Jazz,ONE STOP - G Putnam Music owns Masters & Publishing Control,,,916350246,,2025,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
87044146,GROOVIN' SOUL - INSTRO,Scherer Delight,Michael Scherer,129,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Jazz,ONE STOP - G Putnam Music owns Masters & Publishing Control,,,917922807,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
87044152,STRUTTIN' SAM - Short - INSTRO,He Has Jazz,Michael Scherer,,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Jazz,ONE STOP - G Putnam Music owns Masters & Publishing Control,,,917922444,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
87044155,TAKIN' THE TIME - INSTRO,He Has Jazz,Michael Scherer,140,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Jazz,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00262,,917922821,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
87048508,WHERE ARE THE SMILES - INSTRO,He Has Jazz,Michael Scherer,,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Jazz,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00337,,917922343,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
87364619,TRIPLE TREAT - INSTRO,Scherer Desire,Michael Scherer,130,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,HipHop R&B,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00171,,914034630,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
88276317,HEARTS __ LIKE MINE - INSTRO Eminor,Scherer Delight,G Putnam Music,140,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Michael Douglas Scherer (50%) ASCAP,Indie Pop,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00320,,914034630,,2025,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
88304258,DECK THE HALLS - Christmas COVER - Dark,Christmas,Cindy Youngren,158,HERE FOR YOUR EAR!,Thomas Oliphant,Dark,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00342,Deck the halls with boughs of holly,,,2024,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,Let's please chat. ,,,,,'Tis the season to be jolly,,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,ONE STOP ,,,,,Don we now our gay apparel,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,"Fa-la-la, la-la-la, la-la-la.",,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,Troll the ancient Yule-tide carol,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,"Fa-la-la-la-la, la-la-la-la.",,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,See the blazing Yule before us.,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,Several placements in past year.  ,,,,,Strike the harp and join the .,,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,Thanks for listening! ,,,,,Follow me in merry measure.,,,,,,,
,,,,,Greg,,,,,"Fa-la-la, la-la-la, la-la-la.",,,,,,,
,,,,,,,,,,While I tell of Yule-tide treasure.,,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fast away the old year passes.,,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,,,,,,"Hail the new year, lads and lasses",,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
,,,,,,,,,,"Sing we joyous, all together.",,,,,,,
,,,,,,,,,,"Fa-la-la, la-la-la, la-la-la.",,,,,,,
,,,,,,,,,,Heedless of the wind and weather.,,,,,,,
,,,,,,,,,,"Fa-la-la-la-la, la-la-la-la",,,,,,,
88459348,MY EYES TELL IT ALL - INSTRO,Desperate & Dirty,G Putnam Music,82,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Alt Blues,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00331,Memories run like fingers through your blowing hair,920136408,,2004,,,,
,,,,,,,,,,I’m staring at you though you’re never there,,,,,,,
,,,,,Let's please chat. ,,,,,I sit alone talking into the night,,,,,,,
,,,,,,,,,,To a ghost that’s long since  lost to my life,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,"With each passing hour, times sweet taste is turning sour",,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,"My heart drags through, every minute",,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Cause the night goes so slow without you in it,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,What am I gonna do with this broken heart,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,How am I gonna keep my world from falling apart,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,What’ll I do when all the pieces fall,,,,,,,
,,,,,Several placements in past year.  ,,,,,Where am I gonna hide when my eyes,,,,,,,
,,,,,,,,,,My eyes tell it all,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,Every morning the world seem so strange,,,,,,,
,,,,,,,,,,When I wake up to your smile,,,,,,,
,,,,,,,,,,Every nightfall the world hasn’t changed,,,,,,,
,,,,,,,,,,"The memories run in circles, no they just won’t reconcile",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,"With each passing hour, times sweet taste is turning sour",,,,,,,
,,,,,,,,,,"My heart drags through, every minute",,,,,,,
,,,,,,,,,,Cause the night goes so slow without you in it,,,,,,,
,,,,,,,,,,What am I gonna do with this broken heart,,,,,,,
,,,,,,,,,,How am I gonna keep my world from falling apart,,,,,,,
,,,,,,,,,,What’ll I do when all the pieces fall,,,,,,,
,,,,,,,,,,Where am I gonna hide when my eyes,,,,,,,
,,,,,,,,,,My eyes tell it all,,,,,,,
88735944,YOUR TOUCH - INSTRUMENTAL,Sweet as Sexy,G Putnam Music,108,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Latin Flavor,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00023,,,,2025,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
88820597,SOMETIMES - INSTRO,Desperate & Dirty,G Putnam Music,92,HERE FOR YOUR EAR!,G Putnam (100%) ASCAP,"Rock, Country",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00091,,893097790,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
89051849,THE FOUNDATION - DEMOCRACY,The Struggle,Elliott Sedgewick,112,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Americana,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00197,The foundation for our nation ,911311899,,2020,,,,
,,,,,,,,,,Based on pure experimentation ,,,,,,,
,,,,,Let's please chat. ,,,,,Expresses ideals of humanity  ,,,,,,,
,,,,,,,,,,Relies on rule by majority ,,,,,,,
,,,,,ONE STOP ,,,,,The right to vote is our lone hope ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,To heed the truth our founders wrote ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,Leaders should stand where we stand,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,That’s how we keep things American,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,Democracy,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,Guides the Land of Liberty ,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,"You don’t always win, so earn your turn",,,,,,,
,,,,,Several placements in past year.  ,,,,,We have to give n’ take - live n’ learn,,,,,,,
,,,,,,,,,,…The vote keeps us free  ,,,,,,,
,,,,,Thanks for listening! ,,,,,…Democracy,,,,,,,
,,,,,Greg,,,,,It’s to those values we need to cling,,,,,,,
,,,,,,,,,,Should have nothin’ to do with money,,,,,,,
,,,,,,,,,,A free vote is what makes it work (it’s),,,,,,,
,,,,,,,,,,How we ensure our voices our heard,,,,,,,
,,,,,,,,,,We tell our kids to respect one another,,,,,,,
,,,,,,,,,,Tell ‘em to be kind n’ share…(there’s),,,,,,,
,,,,,,,,,,A diff’rence between what they see n’ hear ,,,,,,,
,,,,,,,,,,"It’s belief versus greed, hate, n’ fear",,,,,,,
,,,,,,,,,,Democracy,,,,,,,
,,,,,,,,,,Guides the Land of Liberty ,,,,,,,
,,,,,,,,,,You don’t always win so earn your turn ,,,,,,,
,,,,,,,,,,We have to give n’ take - live n’ learn,,,,,,,
,,,,,,,,,,…The vote keeps us free  ,,,,,,,
,,,,,,,,,,The Constitution lays out how it’s done,,,,,,,
,,,,,,,,,,Explains government’s for ev’ryone,,,,,,,
,,,,,,,,,,It don’t mention wealth or races (it),,,,,,,
,,,,,,,,,,Separates church n’ state - it embraces,,,,,,,
,,,,,,,,,,That we’re all equal in th’ eyes of th’ law,,,,,,,
,,,,,,,,,,Ev’ry vote matters n’ ev’ry vote talks ,,,,,,,
,,,,,,,,,,"That’s what the words say…(hell, it’s)",,,,,,,
,,,,,,,,,,All in the name…(of),,,,,,,
,,,,,,,,,,Democracy…,,,,,,,
,,,,,,,,,,"You don’t always win, so earn your turn",,,,,,,
,,,,,,,,,,We have to give n’ take - build not burn ,,,,,,,
,,,,,,,,,,…The vote keeps us free ,,,,,,,
,,,,,,,,,,…The vote keeps us free ,,,,,,,
,,,,,,,,,,…Democracy,,,,,,,
89073169,NO! WON'T DO IT AGAIN  - INSTRO,Synth Nymph,G Putnam Music,80,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Upbeat Dark,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00309,,916175348,,2025,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
89083504,TIME'S PRESENT -  INSTRO,Bustin’ Out,G Putnam Music,124,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Indie Pop,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00112,,906109589,,2025,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
89145838,RIGHT HERE SOMEHOW - INSTRO,CLUBBIN',G Putnam Music,130,HERE FOR YOUR EAR!,Jesus Jones,Reimagined,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00300,,,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
89280768,PILLS OR PAIN - INSTRO,Desperate & Dirty,G Putnam Music,69,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Rodeo,ONE STOP - G Putnam Music (100%) Masters & (100%) Publishing Control,QZ-GD6-20-00098,,911310307,,2020,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
